GENE	Screen_1	Screen_2	Screen_3	Screen_4
Gene310	1.05	1.13	0.982	0.998
Gene311	0.994	1.03	1.13	0.992
Gene312	1.04	1.12	1.09	1.01
Gene313	1.03	0.984	1.07	1.06
Gene314	0.994	1.03	0.983	0.991
Gene315	1.04	0.981	1.1	1.02
Gene316	0.996	0.986	0.987	1.01
Gene317	1.05	0.979	1.06	1.01
Gene318	1.01	1.04	1.02	0.991
Gene319	1.03	1.17	0.985	1.06
Gene320	1	1.02	0.983	1.05
Gene321	1.04	0.979	0.982	1.06
Gene322	1.03	0.996	1.07	1.03
Gene323	0.994	1	1.08	1.07
Gene324	0.996	1.04	0.983	1.06
Gene325	0.996	0.979	0.981	1.02
Gene326	0.996	1.04	0.981	1.02
Gene327	0.992	0.984	1.05	0.995
Gene328	0.996	1.13	0.983	1.03
Gene329	0.996	0.978	0.989	0.996
Gene330	1.04	0.995	1.13	1.04
Gene331	1.03	1.07	0.906	0.899
Gene332	1.04	1.04	0.998	1
Gene333	1.03	1.16	0.996	1.01
Gene334	0.992	0.981	0.983	0.999
Gene335	1.01	1.11	1.08	1.09
Gene336	0.992	1.02	0.982	0.991
Gene337	0.995	1.05	1.02	1
Gene338	1.04	0.983	1.09	1.08
Gene339	1.05	1.09	1.03	1.09
Gene340	0.994	0.982	0.982	0.997
Gene341	1.05	1.03	0.998	1.04
Gene342	1.05	1.11	0.982	0.99
Gene343	0.994	1.01	1.12	1
Gene344	0.992	1.09	1.02	1.03
Gene345	0.802	0.977	1.06	0.993
Gene346	0.993	0.977	1.03	1.08
Gene347	1.05	0.985	1.07	1.02
Gene348	1.05	1.05	NA	NA
Gene349	1.05	0.99	1.12	1.02
Gene350	0.995	0.982	1.01	0.991
Gene351	NA	0.998	NA	NA
Gene352	1.03	1.02	1.08	0.998
Gene353	0.995	0.978	1.04	1
Gene354	0.995	0.982	0.99	1.01
Gene355	1.01	1.06	1.08	1.05
Gene356	1.03	0.978	1.09	1.06
Gene357	1.06	1.12	0.983	0.986
Gene358	1.05	0.978	0.982	1.06
Gene359	1.05	1.06	0.983	1
Gene360	0.992	0.949	1.01	1.09
Gene361	1.05	1.14	1.06	1.09
Gene362	1.03	1.09	1.07	1
Gene363	0.982	1.02	1.01	0.991
Gene364	0.998	1.01	1.09	1
Gene365	0.992	1.08	1.01	0.991
Gene366	0.992	1.01	0.983	0.991
Gene367	1.05	0.998	1.01	1.01
Gene368	1.01	1.17	1.06	0.992
Gene369	1	1.09	0.991	1.01
Gene370	0.993	1.12	1.01	1.02
Gene371	0.992	1.1	1.01	1.03
Gene372	1.01	1.09	1.01	1.03
Gene373	0.991	1	1.08	1.01
Gene374	1	0.977	1.12	1.01
Gene375	1.04	0.985	1.01	0.991
Gene376	1.05	1.04	0.993	1.01
Gene377	1.02	1.06	0.982	1.01
Gene378	0.994	1.05	0.987	1.03
Gene379	1.02	0.987	0.981	1
Gene380	0.995	1.09	1.07	1.05
Gene381	1.01	1.03	0.998	1.03
Gene382	0.994	1.17	0.997	1.02
Gene383	1.05	0.987	0.992	0.995
Gene384	0.808	0.997	1.04	0.992
Gene385	1.01	1.09	1.13	1.07
Gene386	1.03	1.09	0.987	1
Gene387	1.01	0.983	0.997	1.04
Gene388	0.994	0.981	1.13	0.897
Gene389	0.992	0.978	0.982	0.992
Gene390	1.03	0.979	0.984	0.989
Gene391	1.02	1.09	1.04	0.998
Gene392	0.996	1.07	0.991	0.992
Gene393	1.04	1.01	1.02	0.997
Gene394	1.03	1.03	1.08	1.08
Gene395	0.996	1.02	NA	NA
Gene396	1.06	0.989	1.02	1.02
Gene397	1.01	0.983	1.06	0.994
Gene398	1.02	1.11	0.982	1.05
Gene399	1	1.15	1.06	1.08
Gene400	1.05	1.02	0.982	1.01
Gene401	0.993	1.13	0.981	0.992
Gene402	NA	1.02	NA	NA
Gene403	1.05	1.06	1.02	1.01
Gene404	1	1.07	0.997	1.05
Gene405	1.06	1.06	1.13	1.01
Gene406	0.995	1.05	0.982	1.04
Gene407	1.03	1.09	0.988	1.08
Gene408	0.996	0.977	1.09	0.995
Gene409	1.05	1.02	0.988	1.02
Gene410	0.998	0.938	1.03	1.05
Gene411	0.991	1.02	1.01	1.07
Gene412	0.996	1.09	1.03	0.996
Gene413	0.992	1.11	1.13	1.07
Gene414	1.01	1.11	1.09	0.995
Gene415	1	0.978	0.985	0.989
Gene416	1.05	1.01	1	1.03
Gene417	1.04	0.983	0.982	1.08
Gene418	1.01	0.985	1.11	1.01
Gene419	1.04	1.03	0.989	0.992
Gene420	1.04	0.998	0.998	0.998
Gene421	1.05	1.17	0.992	1.07
Gene422	NA	0.98	1.13	1.07
Gene423	0.996	0.996	1.12	0.682
Gene424	1.05	1.13	1.12	1.09
Gene425	1.03	1.07	1.06	1.07
Gene426	0.996	1.04	1.07	1.02
Gene427	NA	1.04	0.982	0.993
Gene428	1.02	1.15	1.13	1.03
Gene429	0.994	0.991	0.982	0.994
Gene430	0.996	1.15	1.06	1.07
Gene431	1	1.16	1.09	1.09
Gene432	1.03	1.14	1.01	0.994
Gene433	1.04	1.12	1.02	1.02
Gene434	1.01	1.17	1.08	1.02
Gene435	0.995	1.01	1.06	1.03
Gene436	1.05	1.03	1.03	0.999
Gene437	0.995	1	1.09	1.03
Gene438	1.03	1	1.06	1.01
Gene439	1.05	0.991	0.996	1.02
Gene440	1.05	1.01	1.11	1.02
Gene441	1.01	1.14	1.08	0.995
Gene442	1.05	1	1.01	1.06
Gene443	1.02	1.17	0.982	0.991
Gene444	1.05	1.17	1.13	1.04
Gene445	0.994	1.15	0.995	1.05
Gene446	0.997	1.14	1.07	1.07
Gene447	1.06	1.06	1.05	1.03
Gene448	1	1.02	1.13	1.04
Gene449	0.992	1.1	0.988	1.09
Gene450	0.999	0.983	1	1.06
Gene451	0.993	1.11	0.982	1.06
Gene452	NA	1.12	1.01	1.05
Gene453	NA	0.996	NA	NA
Gene454	0.996	1.01	NA	1.01
Gene455	0.989	1.03	0.982	0.989
Gene456	1.05	1.09	1.14	1.04
Gene457	1.02	1.12	0.999	1
Gene458	1.05	1.17	0.997	1.06
Gene459	0.992	1.04	1.06	1.05
Gene460	1.05	0.988	0.982	0.991
Gene461	1.03	0.977	1.01	1.02
Gene462	1.02	1.17	1.08	1.08
Gene463	1	1.06	1.06	0.991
Gene464	0.993	1.05	0.989	1.02
Gene465	0.994	0.979	1.1	1.07
Gene466	1.02	1	0.999	0.995
Gene467	0.999	1.08	1	1.08
Gene468	0.991	0.986	1.09	1.06
Gene469	0.999	1.13	1.05	1.07
Gene470	0.991	1.11	0.982	1.03
Gene471	1.02	1.08	1.09	1.08
Gene472	1	1.15	1.12	1.09
Gene473	1.02	0.989	1.06	1.01
Gene474	0.994	1.04	NA	NA
Gene475	1.01	1.15	1.13	0.0247
Gene476	1.01	1.13	1.03	0.992
Gene477	0.998	1.09	1.13	1.01
Gene478	1.01	0.984	0.996	1
Gene479	0.995	0.988	0.993	0.991
Gene480	1.05	0.994	1.04	0.991
Gene481	1.01	1.04	1.07	1.06
Gene482	1.05	0.985	1.06	1.05
Gene483	1.04	1.09	1	1.08
Gene484	NA	0.982	NA	NA
Gene485	1.03	1.07	0.987	0.99
Gene486	0.994	1.03	1.01	0.995
Gene487	0.991	0.0973	0.985	0.991
Gene488	1.04	0.989	1.06	1.02
Gene489	1.02	1.17	0.982	0.991
Gene490	1.04	1.06	1.01	1.02
Gene491	0.991	0.989	1.06	1.05
Gene492	0.788	1.04	0.981	0.994
Gene493	NA	1.01	NA	NA
Gene494	1	1.13	1.07	1.06
Gene495	1.03	0.984	NA	NA
Gene496	1.04	1.01	0.986	1.09
Gene497	1.04	1.12	1.07	1.01
Gene498	1.01	0.983	1.05	1.03
Gene499	0.999	1.12	1.08	1.05
Gene500	1.03	1.03	1.07	1.07
Gene501	1.04	1.01	0.999	1.09
Gene502	0.997	1.08	0.996	1.04
Gene503	0.999	0.983	0.982	1.04
Gene504	1.04	1.17	0.988	1.02
Gene505	0.992	0.988	0.983	0.999
Gene506	1.02	1.07	0.417	1.07
Gene507	1.05	0.991	1.02	1
Gene508	1	1.05	1.12	1.05
Gene509	1.02	1.14	1.02	1.01
Gene510	1.05	0.978	0.997	1.01
Gene511	1.04	1.08	1.01	1
Gene512	1.04	1.07	1.12	1.07
Gene513	0.999	1.14	0.983	1.07
Gene514	0.996	0.987	0.994	1.06
Gene515	0.992	0.989	0.983	0.996
Gene516	0.998	1.04	1.07	0.991
Gene517	0.936	1.12	1.11	1.01
Gene518	1.01	1	0.99	0.994
Gene519	1.04	0.99	0.988	1.01
Gene520	0.992	1.02	1.01	0.99
Gene521	0.995	0.997	0.983	0.998
Gene522	1.03	1.04	1.06	1.02
Gene523	1.05	0.982	1.08	0.99
Gene524	1.03	0.991	0.985	1.06
Gene525	1.05	0.988	0.983	0.992
Gene526	NA	1.16	1.13	1.04
Gene527	0.996	1	NA	NA
Gene528	0.993	0.983	0.996	0.989
Gene529	1.03	1.08	1.06	0.991
Gene530	0.992	1.09	1.07	0.993
Gene531	1.03	1.13	1.07	1.02
Gene532	1.05	1.13	1.11	0.829
Gene533	1.05	0.991	1.04	0.999
Gene534	0.99	0.995	0.981	0.994
Gene535	1.05	1.15	1.06	1.02
Gene536	1.02	1.12	1.13	1.02
Gene537	1.05	0.977	1.01	1.08
Gene538	1	1.02	1.09	1.01
Gene539	1.05	1.08	0.982	NA
Gene540	1.04	1.06	0.988	1.02
Gene541	1.01	0.978	1.06	1.02
Gene542	1.04	1.09	1.09	1.06
Gene543	0.991	1.12	0.993	1.02
Gene544	1.04	1.02	1.07	1.02
Gene545	1.02	0.999	1.01	1
Gene546	1.03	1.13	1.05	1.01
Gene547	1.03	1.02	1.02	1.03
Gene548	0.992	1.16	1.06	0.999
Gene549	1.03	0.997	1.09	1.07
Gene550	1	0.98	1.01	0.999
Gene551	0.992	1.02	1.02	1.01
Gene552	1.03	1.14	0.991	0.992
Gene553	1.04	1.09	0.983	0.994
Gene554	NA	0.986	1.06	0.997
Gene555	1.06	0.977	1.05	1.02
Gene556	1.04	1.02	1.01	1.02
Gene557	1.05	1.14	1.01	1.09
Gene558	0.994	0.99	1.01	0.998
Gene559	1.03	1.13	0.983	1.04
Gene560	0.992	1.06	1.01	1.03
Gene561	NA	1.07	NA	NA
Gene562	1.02	0.983	1.13	1.06
Gene563	1.04	1.13	0.983	1.02
Gene564	0.995	0.979	1.12	1.06
Gene565	1.01	1.12	1.02	1.02
Gene566	1.05	0.983	0.997	0.991
Gene567	0.996	0.979	1.01	0.998
Gene568	1.04	1.17	1.13	1.06
Gene569	0.997	0.992	0.949	0.812
Gene570	0.998	1.02	1.08	1.04
Gene571	0.996	0.985	1.02	1.01
Gene572	1.05	0.989	0.419	1.08
Gene573	1.05	1.04	1.02	1.05
Gene574	NA	1.09	1.03	0.992
Gene575	1.04	1.08	1.01	1.05
Gene576	1.05	0.978	1.03	1
Gene577	1.05	0.996	0.982	0.996
Gene578	1.06	1.01	1.02	1.04
Gene579	0.995	1.12	0.982	0.995
Gene580	1.04	1.01	1.03	1.09
Gene581	1.05	1.06	1.1	1.04
Gene582	NA	0.982	NA	NA
Gene583	0.991	1.16	1.13	1.03
Gene584	0.992	1.12	0.997	0.991
Gene585	1.03	1	0.932	1.01
Gene586	1.02	0.994	1.14	1.01
Gene587	1	1.12	0.994	1.06
Gene588	0.996	1.1	0.988	0.991
Gene589	0.992	1.08	1.07	1.07
Gene590	0.995	0.382	1.1	1.02
Gene591	1.01	1.05	0.987	1.08
Gene592	0.994	1	1.06	0.99
Gene593	1.05	1.12	1.04	1.02
Gene594	1.02	0.993	0.997	0.995
Gene595	1.04	1.09	1.03	1.01
Gene596	1.01	0.986	1.1	1.05
Gene597	1.02	0.977	0.983	0.991
Gene598	0.994	1.12	0.998	1.01
Gene599	0.998	1.04	1.01	0.991
Gene600	1.02	1.04	0.988	0.991
Gene601	1.03	1.12	0.981	0.991
Gene602	0.995	0.992	1.12	1
Gene603	1.04	0.983	1.08	1.01
Gene604	1	0.994	1.1	1.06
Gene605	1.05	1.01	1.11	NA
Gene606	1.01	1.12	1.01	1.03
Gene607	1.01	1.16	1.08	1.03
Gene608	1.02	0.732	0.983	1.07
Gene609	1.05	1.12	0.988	1.01
Gene610	0.994	1.12	0.988	0.998
Gene611	1.03	1.12	1.07	1.01
Gene612	0.992	1.07	1.1	1
Gene613	1.04	1.09	1.01	0.994
Gene614	1.02	0.983	1.09	1.02
Gene615	1.02	1.17	0.997	1.03
Gene616	1	1.06	1.03	1.02
Gene617	1	1.12	1.09	1.08
Gene618	1.03	1.07	1.01	1.01
Gene619	NA	NA	NA	NA
Gene620	1	1.12	0.995	1.03
Gene621	0.995	1.07	0.987	1.01
Gene622	1	1.12	0.992	0.995
Gene623	1.03	0.981	1	1.02
Gene624	1.05	1.09	1.08	1.04
Gene625	NA	1.14	NA	NA
Gene626	0.995	0.981	1.01	1
Gene627	1.05	1.17	0.982	1.07
Gene628	1	0.986	1.05	1.07
Gene629	1.02	1.05	0.983	1
Gene630	0.964	0.563	0.982	1.04
Gene631	0.995	0.981	0.985	0.994
Gene632	1.02	0.979	1.06	0.99
Gene633	0.996	1.02	1.02	0.99
Gene634	1.05	1.12	0.988	1.01
Gene635	1.05	1.12	1.03	1.04
Gene636	0.998	1.03	1.01	0.996
Gene637	0.995	0.998	1.04	1.03
Gene638	1.03	1.08	1.14	1.07
Gene639	0.995	1.11	1.12	1.04
Gene640	1.02	1.01	1.04	0.992
Gene641	1	1.07	1.01	0.996
Gene642	0.991	1.09	0.999	1.08
Gene643	0.993	0.977	1.08	1.01
Gene644	1	1.09	1.1	1
Gene645	0.995	1.03	1.03	1.05
Gene646	1.01	0.996	1.14	0.784
Gene647	1.05	0.977	0.991	1.02
Gene648	0.767	1.13	1.06	1
Gene649	1.03	1.01	1.1	1.06
Gene650	0.992	1.12	1.08	0.994
Gene651	1.04	1.09	1	1.09
Gene652	1.03	0.978	1.13	1.08
Gene653	0.992	1.09	1.02	0.991
Gene654	1.05	1.15	0.832	0.241
Gene655	1.01	0.997	1.03	0.995
Gene656	0.998	0.991	1.02	1.03
Gene657	1.01	1.16	0.998	1.06
Gene658	1.01	1.11	1.05	0.991
Gene659	1.03	0.989	0.982	0.991
Gene660	0.991	1.02	1.12	0.991
Gene661	1	1.06	1.08	0.994
Gene662	0.994	1.12	0.982	0.992
Gene663	1.01	1.04	1.14	1.02
Gene664	0.997	1.04	0.988	1.04
Gene665	0.995	0.98	0.986	0.995
Gene666	0.995	1.09	1.05	1.03
Gene667	0.998	0.988	0.75	1.08
Gene668	0.994	1.03	1.07	1.02
Gene669	0.999	1.13	1.02	0.99
Gene670	0.991	0.989	1.08	1.05
Gene671	1.06	1.07	1.1	1.02
Gene672	0.996	0.999	0.982	1.01
